date,spot,option_value,delta,gamma,vega,theta,implied_vol,hedge_units,hedge_value,cash,nav,total_pnl,option_pnl,hedge_pnl,delta_attr,gamma_attr,vega_attr,theta_attr
2024-03-25,151.415,1994779.4692372156,747974.6937890007,260585.67280654714,8654496.702569667,-30018.93919122156,0.07553501247276695,-747974.6937890007,-113254588.26006155,112181046.45915785,921237.6683335155,-236121.28328697383,-247913.51207103697,11792.228784069997,-11792.228784069997,52.74131965977689,-145606.1749011298,-47566.83264833937
2024-03-26,151.565,2081874.3562050539,827094.7184171407,215583.6613838931,6100002.029141198,-19340.197102796352,0.07493037435127002,-827094.7184171407,-125358610.99689393,124172872.99192189,896136.3512330204,-25101.3171004951,87094.88696783828,-112196.20406835436,112196.20406835436,2931.5888190738774,-5232.838628743083,-30018.93919122156
2024-03-27,151.325,1913121.7262849382,772485.4521390257,262362.48057129915,6805606.830829443,-39081.772880807024,0.08269259526558531,-772485.4521390257,-116896361.04493806,115909125.77238613,925886.4537330121,29750.102500006557,-168752.6299201157,198502.7324201213,-198502.7324201213,6208.809447856593,47349.563327965516,-19340.197102796352
2024-03-28,151.38,1929732.6171036602,833638.9166993513,229116.6308106919,4839012.44232192,-32375.5018576526,0.08410000000000001,-833638.9166993513,-126196259.2099478,125166537.23752822,900010.6446840912,-25875.80904892087,16610.89081872208,-42486.69986765168,42486.69986765168,396.82325186418836,9578.243274274359,-39081.772880807024
2024-03-29,151.325,1801094.6082380728,977732.586020065,72938.4830627444,789298.5439736005,14300.551392596855,0.05749562766131792,-977732.586020065,-147955383.57948634,146971511.74748522,817222.7762369514,-82787.86844712496,-128638.00886558741,45850.14041847001,-45850.14041847001,346.53890410125746,-128738.88876704774,-32375.5018576526
2024-04-01,151.645,2732148.4609404225,15950.682607664727,230850.03137424344,34524985.45978234,-45166.575127512755,0.07912595875036191,-15950.682607664727,-2418841.2640393176,572211.543571353,885518.7404724578,68295.9642355144,931053.8527023497,-312874.4275264419,312874.4275264419,3734.450332813017,17072.788834249324,14300.551392596855
2024-04-02,151.56,2630173.0414607646,4095.4564466236043,240007.3236309592,33941084.85502791,-45257.66486609212,0.07748665240211576,-4095.4564466236043,-620707.3790502734,-1224566.5333960396,784899.1290144515,-100619.61145800631,-101975.4194796579,1355.8080216516287,-1355.8080216516287,833.9457383396106,-56597.02783732712,-45166.575127512755
2024-04-03,151.695,2541221.634511686,42971.221891946625,248225.6810184697,33337142.77700066,-44328.96326209098,0.07608060626271695,-42971.221891946625,-6518519.504898843,4672692.7058322355,695394.8354450781,-89504.29356937285,-88951.40694907866,-552.8866202941493,552.8866202941493,2187.066736586821,-47722.73132741927,-45257.66486609212
2024-04-04,151.345,2518598.3405704633,-39348.38102812023,251076.51130594566,32673636.627875753,-47364.29909011828,0.07680408758632627,39348.38102812023,5955180.726700856,-7785967.598105283,687811.4691660358,-7583.366279041395,-22623.293941222597,15039.927662181075,-15039.927662181075,15203.822962380775,24118.80018165725,-44328.96326209098
2024-04-05,151.62,2382967.451561399,36165.13567732886,264921.7258573266,32131564.38959576,-44955.30431550383,0.07406633016900369,-36165.13567732886,-5483357.871396601,3663391.8047749083,563001.384939706,-124810.08422633074,-135630.88900906453,10820.804782733287,-10820.804782733287,9493.830583756462,-89452.49102886979,-47364.29909011828
2024-04-08,151.805,2412014.83972003,103413.81174385309,261517.12067375443,30046351.634457115,-49359.76595243778,0.07911967518917115,-103413.81174385309,-15698733.691775618,13872077.07505362,585358.2229980305,22356.83805832453,29047.388158631045,-6690.550100305921,6690.550100305921,4533.473033733613,162371.880898354,-44955.30431550383
2024-04-09,151.785,2332833.2737035993,105841.71399420005,270451.795169766,29373103.09243905,-49813.817287298254,0.07821182768491787,-105841.71399420005,-16065184.558609655,14240596.218122533,508244.9332164768,-77113.28978155367,-79181.5660164305,2068.27623487812,-2068.27623487812,52.3034241348044,-27277.50534325839,-49359.76595243778
2024-04-10,153.185,3275311.316350432,379093.4557998519,189314.79570886889,25841393.747511905,-53616.652734816445,0.10110496059434039,-379093.4557998519,-58071431.02670032,56098664.28662132,1302544.5762714297,794299.6430549528,942478.0426468328,-148178.39959188068,148178.39959188068,265042.7592663728,672442.3530573768,-49813.817287298254
2024-04-11,153.275,3158049.5223844806,424118.5196144241,195240.1334971625,24384953.707479436,-49572.94374456276,0.0970226335329343,-424118.5196144241,-65006766.09390085,62999880.942799866,1151164.371283494,-151380.20498793572,-117261.79396595154,-34118.411021987966,34118.411021987966,766.724922620977,-105493.02099991786,-53616.652734816445
2024-04-12,153.295,3108638.104628632,443248.67287643475,197759.31920969335,23388839.969755176,-49476.52095337752,0.0966840886739124,-443248.67287643475,-67947805.30859306,65932437.78709979,1093270.5831353664,-57893.78814813495,-49411.41775584873,-8482.370392280767,8482.370392280767,39.04802669936147,-8255.400715154314,-49572.94374456276
2024-04-15,154.28,3816680.28508199,596124.4126587069,153137.76135620518,18110409.320158083,-50445.133772863875,0.11334427618532852,-596124.4126587069,-91970074.3849853,89518106.92070875,1364712.8208054304,271442.237670064,708042.1804533582,-436599.9427832943,436599.9427832943,95935.51774011503,389662.4595706255,-49476.52095337752
2024-04-16,154.715,4243856.006619889,630903.0316221539,134870.93824920562,16642060.061752873,-55238.61009210616,0.12543694503163144,-630903.0316221539,-97610162.53742155,94898880.95363845,1532574.4228367805,167861.60203136504,427175.7215378992,-259314.11950653885,259314.11950653885,14488.746446314115,219003.18257966964,-50445.133772863875
2024-04-17,154.385,3835532.9649336482,638620.9312895698,148815.47673823914,15836883.710938742,-51429.039856260846,0.11640623754173998,-638620.9312895698,-98593492.47714023,96090408.89379245,1332449.3815858662,-200125.04125091434,-408323.04168624105,208198.00043531868,-208198.00043531868,7343.722587669802,-150289.5764468952,-55238.61009210616
2024-04-18,154.645,3935077.3537824852,702633.3400954015,137710.31350577794,13462811.407478571,-43277.43236249004,0.1147749312798212,-702633.3400954015,-108658732.87905337,105989607.8535703,1265952.328299418,-66497.05328646302,99544.388848837,-166041.4421353005,166041.4421353005,5029.9631137532315,-25834.807566933854,-51429.039856260846
2024-04-19,154.64,4156254.9911039956,648516.2031429595,136324.47010276874,14438819.642234841,-66121.3532171108,0.13471805675486956,-648516.2031429595,-100286545.65402725,97620933.79524466,1490643.1323214024,224690.80402198434,221177.63732151035,3513.166700493782,-3513.166700493782,1.721378918838663,268490.53714625747,-43277.43236249004
2024-04-22,154.845,4140547.196039375,742504.4797609334,125151.43530166612,10177557.450866986,-60518.015745218945,0.13755098671497548,-742504.4797609334,-114973106.16858174,112174548.48815483,1341989.5156124681,-148653.6167089194,-15707.795064620674,-132945.8216443148,132945.8216443148,2864.517928034778,40904.16475305297,-66121.3532171108
2024-04-23,154.835,4020439.450738097,792569.1538384334,119241.46600918836,8225304.420349316,-49101.87982899777,0.13127719060128407,-792569.1538384334,-122717444.93457384,119926312.29894455,1229306.815108806,-112682.70050367713,-120107.74530127784,7425.044797602582,-7425.044797602582,6.2575717650719245,-63851.92038212041,-60518.015745218945
2024-04-24,155.345,4455160.391288667,851772.674156919,92946.50581731088,6002018.438618649,-40175.958322221035,0.13952901330595363,-851772.674156919,-132318626.06690659,129123283.16281968,1259817.4872017652,30510.672092974186,434720.9405505699,-404210.26845759386,404210.26845759386,15507.352654494392,67873.75376865742,-49101.87982899777
2024-04-25,155.655,4630917.830598324,953098.5434228043,46455.39888069645,2175663.980695036,517.2730742574804,0.11759018967523335,-953098.5434228043,-148354553.77647662,144895161.34340107,1171525.3975227773,-88292.08967898786,175757.43930965662,-264049.5289886468,264049.5289886468,4466.079604521853,-131677.22395318563,-40175.958322221035
2024-04-26,158.345,7686909.2861381,841462.0494611877,54884.65901649266,5452255.397223235,-137742.57879161157,0.2892273590632791,-841462.0494611877,-133241308.22193176,127218080.7070489,1663681.771255225,492156.3737324476,3055991.455539776,-2563835.0818073414,2563835.0818073414,168077.9559203035,373424.8071860238,517.2730742574804
2024-04-29,156.335,5360266.2844928345,999698.5464952292,1.964153865260493,24.489208799237264,23734.998189078473,0.0931,-999698.5464952292,-156287872.26633167,151955983.4708658,1028377.4890269339,-635304.2822282761,-2326643.001645265,1691338.7194169795,-1691338.7194169795,110869.75544626499,-1069336.451995903,-137742.57879161157
2024-04-30,157.81,6989863.727734799,920241.228334588,42589.693759701324,1417986.960174924,-324310.9945027266,0.48796822678432566,-920241.228334588,-145223268.24348134,139416824.09193498,1183419.576188445,155042.08716154099,1629597.443241964,-1474555.3560804573,1474555.3560804573,2.1366311265536635,9.670010453905924,23734.998189078473
2024-05-01,154.485,3746290.991736956,2630.2993783863494,168384.42617590172,35753993.487818286,-60356.201223884345,0.10475654626575068,-2630.2993783863494,-406341.7994700152,-2528846.8151563406,811102.3771106001,-372317.1990778446,-3243572.7359978426,3059802.0842124945,-3059802.0842124945,235427.84153604737,-543389.1659620584,-324310.9945027266
